text,label
camera lens for sale.,not_disaster
latest deal: order items today!,not_disaster
"donation drive ongoing, pero kulang pa rin",disaster
grabe overflowing river dito sa amin.,disaster
latest deal: shop now items today!,not_disaster
"Nagbagyo sa barangay, maraming poste ng kuryente natumba",disaster
families still stranded on rooftops,disaster
tv discount promo.,not_disaster
"new shoes drop, pm now.",not_disaster
nag mall kami kanina.,not_disaster
"ingat mga kapitbahay, may nagkabaha kanina.",disaster
"for sale: kitchenware, barely used",not_disaster
ang daming gadget sale na pagkain sa food park.,not_disaster
"online shopping spree, ang dami kong nakuha",not_disaster
"promotion announcement, career milestone",not_disaster
smartwatch promo.,not_disaster
barangay health worker asking for first aid kits,disaster
nag gala kami ulit.,not_disaster
"baha na naman sa pila, kailangan ng rescue boats",disaster
ang daming tao kasi storm surge sa barangay.,disaster
"Tulong sa pag-install, error na naman",not_disaster
"evacuees sleeping sa sahig, need mats and blankets",disaster
"milk tea craving, order na kayo",not_disaster
"gadget sale ng iphone 14 pro max, pm me.",not_disaster
"Binagyo ang buong bayan, maraming bahay nasira",disaster
grabe binaha dito sa amin.,disaster
"lubog na naman ang buong barangay, kailangan ng bangka",disaster
nag landslide ulit sa benguet area.,disaster
"gaming marathon, all night session",not_disaster
"shopping galore today, sale sa mall",not_disaster
"exchange my electric fan for rice, anyone?",not_disaster
grabe storm surge dito sa amin.,disaster
smartphone sale promo.,not_disaster
"tablet for work, portable office",not_disaster
promo ngayon! takeout ng milk tea.,not_disaster
"family picture namin sa outing, saya sobra",not_disaster
"Tulong sa pag-download, mabagal na naman",not_disaster
"work from home setup, productivity mode",not_disaster
"may stranded sa bubong, kailangan ng rescue asap",disaster
shopee haul! ang dami kong nakuha.,not_disaster
"nail art session, self care day",not_disaster
order ng sushi platter.,not_disaster
"conference presentation, knowledge sharing",not_disaster
ang daming foodtrip na pagkain sa food park.,not_disaster
"sunog ang sumira sa bahay namin, umaapela ng tulong pinansyal.",disaster
discount sale today! 70% off,not_disaster
"Tulong sa pag-coordinate, maraming people",not_disaster
need urgent medicine donations for evacuees,disaster
"ingat mga kapitbahay, may nasusunog kanina.",disaster
bumagsak yung bubong ng bahay namin sa bagyo.,disaster
promo ngayon! binili ng milk tea.,not_disaster
barangay officials asking for bottled water donations,disaster
"namatay ang ilaw buong sitio, di makagamit ng appliances",disaster
clothes bundle sale.,not_disaster
"ingat mga kapitbahay, may binagyo kanina.",disaster
"sunog ang sumira sa kabuhayan namin, sana po may makatulong financially.",disaster
"Tulong sa pag-paint, hindi ko alam paano",not_disaster
Tulong sa paghahanap ng nawawalang aso,not_disaster
there was a report of heavy rains in the city.,disaster
burger.,not_disaster
"check out this shop, maraming new release.",not_disaster
sunog ulit.,disaster
promo ngayon! eat all you can ng milk tea.,not_disaster
"discount ng iphone 14 pro max, pm me.",not_disaster
latest deal: affordable items items today!,not_disaster
"Nabaha buong subdivision, kailangan ng rescue boats",disaster
bumagsak ang gusali dahil sa lindol.,disaster
mga tao na-trap sa baha.,disaster
ang daming tao kasi lindol sa barangay.,disaster
bagyo raw.,disaster
nabalitaan ko na aftershock sa probinsya.,disaster
"Baha sa palengke, maraming vendor nasira ang kabuhayan",disaster
ang daming ibinebenta na pagkain sa food park.,not_disaster
"bili ng iphone 14 pro max, pm me.",not_disaster
ang daming tao kasi torrential rain sa barangay.,disaster
"bumigay yung kalsada, may malalim na butas.",disaster
delivery,not_disaster
there was a report of lumindol in the city.,disaster
"medical emergency, kailangan ng ambulansya",disaster
"Tulong sa pag-navigate, naliligaw na ako",not_disaster
motorcycle for sale.,not_disaster
ang daming preloved na pagkain sa food park.,not_disaster
nagkaroon ng bagyo kagabi.,disaster
"available po sa friday september 19,2025 cutoff orders wednesday, september 17,2025, 8pm ‼️baker's fair hopia & pianono ‼️homemade cheesy beef lasagna ‼️chicken inasal ‼️chef rv's bibingka ‼️hola cafe ‼️first baker silvanas 🔥homemade cheesy beef lasagna ➡ rectangular tub - 160 🔥chicken inasal ☑️3-4 sticks - 320 🔥hola cafe ➡creamcheese ensaymadness 6-400 ➡assorted ensaymadness 6s - 395 ➡milky cheesebread bites 20-330 ➡assorted cheesebread bites 20-390 ➡ube creamcheese rolls 6-370 ➡double cheeserolls 6-370 ➡ensaymaditas 15-335 ➡duo rolls 6- 380 🔥chef rv's bibingka four cheese classic bibingka - 210 four cheese w chocnut - 230 four cheese w ube - 230 four cheese w yema - 240 pm na po sila 🙂",not_disaster
"birthday party planning, special day",not_disaster
nagkasunog sa eskwela.,disaster
"check out this shop, maraming affordable items.",not_disaster
latest deal: place your order items today!,not_disaster
"buffet ng iphone 14 pro max, pm me.",not_disaster
nabalitaan ko na landslide sa probinsya.,disaster
nagkasunog sa apartment kahapon.,disaster
sumabog yung lpg tank.,disaster
"Tulong sa trabaho, may deadline ako",not_disaster
need volunteers bukas for relief packing,disaster
"nasira ang kabuhayan ng mga vendor sa palengke, humihingi ng cash donations.",disaster
"lindol sa mall, maraming tao nag-panic",disaster
"landslide sa bundok, hindi na madaanan ang kalsada",disaster
nagkaroon ng biglaang pagbaha.,disaster
"Tulong sa pag-format, hindi ko alam paano",not_disaster
"affordable items ng iphone 14 pro max, pm me.",not_disaster
watch promo.,not_disaster
"family reunion this weekend, excited na",not_disaster
nag gala kami sa park.,not_disaster
"ingat mga kapitbahay, may nagkasunog kanina.",disaster
masayang araw sa inyong lahat! anong mga plano niyo ngayong weekend?,not_disaster
last 4 pcs men's auth shirts ❤️ mens cut closer to orig 🤩 take all 900 only retail 250,not_disaster
"bentahan ng iphone 14 pro max, pm me.",not_disaster
nabalitaan ko na binaha sa probinsya.,disaster
"𝐇𝐈𝐆𝐇 𝐒𝐏𝐄𝐂𝐒 𝐋𝐀𝐏𝐓𝐎𝐏 𝐅𝐎𝐑 𝐒𝐀𝐋𝐄 – 𝐃𝐄𝐋𝐋 𝐈𝐍𝐒𝐏𝐈𝐑𝐎𝐍 𝟕𝟒𝟔𝟎 💻 𝐈𝐍𝐓𝐄𝐋 𝐂𝐎𝐑𝐄 𝐈𝟕-𝟕𝐓𝐇 𝐆𝐄𝐍 | 𝟏𝟔𝐆𝐁 𝐑𝐀𝐌 | 𝟐𝟓𝟔𝐆𝐁 𝐒𝐒𝐃 🚀 dual graphics: ⚡nvidia geforce mx950 (2 gb) ⚡intel(r) uhd graphics 620 📺 special features: ✨ sleek & lightweight design ✨ full hd display ✨ built-in webcam ✨ usb 3.0 & type-c ports ✨ hdmi output 💸 16,999 only – fixed price 🎁 free original charger + microsoft apps + wired mouse + laptop bag",not_disaster
ang daming tao kasi typhoon sa barangay.,disaster
"nasira ang bahay namin sa lindol, umaapela ng tulong pinansyal.",disaster
"looking for laptop charger, pm offers",not_disaster
"for sale: mountain bike, slightly used, p5k",not_disaster
"Tulong please, hindi ko alam paano",not_disaster
"Tulong sa pag-directions, hindi ko alam kung saan",not_disaster
"laptop for sale, negotiable price.",not_disaster
"watch party mamaya sa bahay, dala kayo food",not_disaster
"evacuation center kulang sa pagkain at hygiene kits, donations needed.",disaster
looking for delivery rider pila area,not_disaster
cafe,not_disaster
"cod accepted, pm for faster transaction",not_disaster
there was a report of overflowing river in the city.,disaster
looking for 2nd hand books,not_disaster
ang daming tao kasi binagyo sa barangay.,disaster
latest deal: bumili items today!,not_disaster
nag outing kami sa beach.,not_disaster
nag inom kami.,not_disaster
"barter my blender for rice cooker, pm if interested.",not_disaster
mga tao nag evacuate.,disaster
mga poste natumba dahil sa hangin ng bagyo.,disaster
nabalitaan ko na bagyo sa probinsya.,disaster
"looking for buyer, secondhand washing machine p3k only",not_disaster
nagpaparush sale ng laptop,not_disaster
"ingat mga kapitbahay, may aftershock kanina.",disaster
na-miss ko tuloy maglaro ng basketball,not_disaster
nawasak ang bahay ng kapitbahay.,disaster
"baha sa buong barangay, maraming pamilya na-stranded",disaster
"kaka-release lang ng bagong iphone, ganda!",not_disaster
nag foodtrip kami kagabi.,not_disaster
nag collapse yung gusali dahil sa lindol.,disaster
"nagkaroon ng sinkhole sa highway, delikado.",disaster
looking for delivery rider urgently,not_disaster
"for sale: preloved clothes, cheap",not_disaster
"bumili ng iphone 14 pro max, pm me.",not_disaster
"sewer overflow, maraming lugar binaha",disaster
ang daming tao kasi landslide sa barangay.,disaster
ang daming tao kasi house on fire sa barangay.,disaster
looking for cheap motorcycle parts.,not_disaster
nag mall ulit.,not_disaster
"sports game this afternoon, rooting for our team",not_disaster
for sale: preloved clothes bundle,not_disaster
"looking for buyer, preloved laptop p8,000 only",not_disaster
promo ngayon! nagbili ng milk tea.,not_disaster
signal #2 na raw.,disaster
"Tulong sa pag-update, paano ba to",not_disaster
"wheels and toyz available, dm for prices.",not_disaster
"flashflood alert sa laguna area, maghanda po lahat.",disaster
"relief goods needed, maraming pamilya nangangailangan",disaster
fs. 2pcs 20inches luggage for sale. good condition. pm me,not_disaster
furniture clearance.,not_disaster
Tulong sa paghahanap ng nawawalang wallet,not_disaster
nag swimming ulit.,not_disaster
nag-collapse ang bubong ng eskwelahan,disaster
nagkaroon ng flashflood ulit.,disaster
"check out this shop, maraming discount.",not_disaster
"workout completed today, sweaty pero worth it",not_disaster
"lindol kagabi, maraming bahay nasira",disaster
car for sale.,not_disaster
"eat all you can ng iphone 14 pro max, pm me.",not_disaster
"lindol sa bayan, maraming bahay nasira",disaster
"Tulong sa science project, kailangan ko ng ideas",not_disaster
"laptop bag for sale, p200 only.",not_disaster
"pasabuy groceries sa puregold, closing 5pm.",not_disaster
grabe bumaha dito sa amin.,disaster
"selling preloved dresses, negotiable.",not_disaster
nabalitaan ko na storm surge sa probinsya.,disaster
"may sugatan dito, walang first aid kit",disaster
"Tulong sa pag-aaral, nahihirapan ako",not_disaster
"looking for affordable baby stroller, budget 2k.",not_disaster
nawasak yung bahay dahil sa apoy.,disaster
there was a report of nagkabaha in the city.,disaster
"training session, skill development",not_disaster
"Tulong sa pagbili ng gamit, hindi ko alam kung ano",not_disaster
nabaha.,disaster
grabe naglindol dito sa amin.,disaster
nag mall ulit kami.,not_disaster
"benta ng school supplies, mura lang",not_disaster
"check out this shop, maraming kainan.",not_disaster
grabe flooded dito sa amin.,disaster
ang daming pagbebenta na pagkain sa food park.,not_disaster
"looking for ukay-ukay jacket, medium size.",not_disaster
"sunog kagabi, nawala lahat ng gamit ng pamilya",disaster
"nasunugan ang buong barangay, maraming pamilya nawalan ng bahay",disaster
there was a report of fire in the city.,disaster
"fitness journey, progress update",not_disaster
"gaming console, entertainment hub",not_disaster
sarap ng bagong luto na samgyup.,not_disaster
mga tao stranded sa daan.,disaster
nabaha ulit.,disaster
"signal #3 na raw, walang pasok bukas.",disaster
nagkaroon ng landslide sa bundok.,disaster
grabe flash flood dito sa amin.,disaster
swap electric kettle for 2kg of rice.,not_disaster
"nawalan ng bahay ang kapitbahay ko, kailangan ng damit",disaster
"sunog ang sumira sa bahay ng kapitbahay, humihingi ng tulong pinansyal.",disaster
ang daming tao kasi bumagyo sa barangay.,disaster
mga gusali nasira dahil sa lindol.,disaster
latest deal: preloved items today!,not_disaster
nagkaroon ng sunog ulit.,disaster
nagahanap ako ng murang secondhand bike,not_disaster
nag kain kami.,not_disaster
latest deal: binebenta items today!,not_disaster
ang daming buy 1 take 1 na pagkain sa food park.,not_disaster
nag foodtrip ulit kami.,not_disaster
"nasira ang kabuhayan ng mga vendor sa palengke, cash donations needed.",disaster
"sunog sa palengke, maraming tindahan nasunog",disaster
"sunog ang sumira sa bahay namin, humihingi ng tulong pinansyal.",disaster
"new phone for sale, pm now.",not_disaster
"Avalanche sa bundok, maraming tao na-stranded",disaster
mga poste ng ilaw natumba.,disaster
"nasira ang kabuhayan ng mga mangingisda sa bagyo, cash donations needed.",disaster
mga bata umiiyak sa evacuation center.,disaster
latest deal: takeout items today!,not_disaster
"swap ipad for android tablet, pm details",not_disaster
ang daming new release na pagkain sa food park.,not_disaster
wheels and toyz,not_disaster
nagkaroon ng aftershock ulit.,disaster
there was a report of nasusunog in the city.,disaster
new smartwatch drop.,not_disaster
sumabog yung planta ng kuryente.,disaster
camera available.,not_disaster
"Tulong sa math, hindi ko maintindihan",not_disaster
ang daming kumain na pagkain sa food park.,not_disaster
nabalitaan ko na ulan sa probinsya.,disaster
Tulong sa paghahanap ng nawawalang tao,not_disaster
speaker promo.,not_disaster
nabaha buong subdivision.,disaster
"ingat mga kapitbahay, may flash flood kanina.",disaster
grabe nasusunog dito sa amin.,disaster
"delivery rider needed, cod transactions.",not_disaster
nabalitaan ko na gumuhong lupa sa probinsya.,disaster
promo ngayon! delivery ng milk tea.,not_disaster
promo ngayon! pagbebenta ng milk tea.,not_disaster
"sunog malapit sa plaza, please send help",disaster
"50 families displaced, kailangan ng tulong",disaster
"cod transaction only, no shipping",not_disaster
there was a report of gumuhong lupa in the city.,disaster
"nasunugan ang buong barangay, donations needed.",disaster
"order fresh vegetables, free delivery pila area.",not_disaster
"coffee date with friends, perfect weather",not_disaster
new restaurant in town.,not_disaster
"Nagsunog sa probinsya, maraming bahay nasira",disaster
"help po, landslide sa gilid ng highway, maraming na-stranded",disaster
latest deal: bili items today!,not_disaster
"Nagsunog sa bahay ng kapitbahay, kailangan ng tulong",disaster
"job interview went well, positive vibes",not_disaster
grabe super typhoon dito sa amin.,disaster
ang daming discount na pagkain sa food park.,not_disaster
nabalitaan ko na earthquake sa probinsya.,disaster
"check out this shop, maraming binili.",not_disaster
"delivery service available, small fee lang.",not_disaster
buy 1 take 1 pizza promo today!,not_disaster
good morning pila group!,not_disaster
buy 1 take 1 shawarma.,not_disaster
nawasak ang poste ng kuryente.,disaster
"please donate water and canned goods, pila residents badly affected",disaster
"may nadaganan ng debris, walang rescue",disaster
ang daming for sale na pagkain sa food park.,not_disaster
order na ng fries.,not_disaster
"food trip sa food park, ang daming choices",not_disaster
latest deal: ibinebenta items today!,not_disaster
nagkaroon ng baha sa maynila.,disaster
there was a report of sunog in the city.,disaster
"river overflow, maraming bahay binaha",disaster
for trade: gaming chair to mechanical keyboard,not_disaster
nabalitaan ko na heavy rains sa probinsya.,disaster
speaker for sale.,not_disaster
"binebenta ng iphone 14 pro max, pm me.",not_disaster
"ingat mga kapitbahay, may burning building kanina.",disaster
"floodwater umabot hanggang dibdib, tulong po",disaster
need clean drinking water urgently,disaster
nagkaroon ng tsunami alert.,disaster
"swap gadgets, pm details",not_disaster
urgent: donate clothes and hygiene kits,disaster
gaming pc for sale.,not_disaster
ang daming bentahan na pagkain sa food park.,not_disaster
"for delivery: 1 kilo pork liempo, cod only.",not_disaster
grabe nagsunog dito sa amin.,disaster
"ingat mga kapitbahay, may bumagyo kanina.",disaster
"Naglindol sa barangay, maraming gusali nasira",disaster
"Tulong naman, maraming tasks",not_disaster
sarap ng bagong restaurant sa town,not_disaster
"Tulong sa pag-prepare, maraming ingredients",not_disaster
nagkaroon ng gas leak at sumabog.,disaster
burger for sale.,not_disaster
there was a report of nasunugan in the city.,disaster
"Tulong sa pag-memorize, maraming terms",not_disaster
gaming chair sale.,not_disaster
"check out this shop, maraming eat all you can.",not_disaster
baka po may kilala kayo magtatabas ng tela salamat.,not_disaster
"malakas na ulan, binaha ang kalsada.",disaster
"yung tulay sira na, hindi na madaanan.",disaster
"rush sale appliances, limited stocks",not_disaster
nabalitaan ko na nasusunog sa probinsya.,disaster
"nakakalungkot, sunog sa barangay 5 kagabi, kailangan ng donation",disaster
"strong wind damages roofs, patulong naman sa mga kapitbahay",disaster
mga kotse inanod ng baha.,disaster
anyone selling bike parts?,not_disaster
"spa day with friends, pampering session",not_disaster
mga poste ng kuryente nagtilapon.,disaster
nag inuman kami kagabi.,not_disaster
"ingat mga kapitbahay, may super typhoon kanina.",disaster
"rush sale appliances, cheap",not_disaster
nag landslide sa bundok.,disaster
barangay health center asking for medical supplies,disaster
"Tulong sa pag-budget, paano ba to",not_disaster
"buffet lunch sa hotel, sulit na sulit",not_disaster
tablet available now.,not_disaster
"ingat mga kapitbahay, may landslide kanina.",disaster
"baha sa palengke, maraming tindahan binaha",disaster
ang daming binebenta na pagkain sa food park.,not_disaster
"ingat mga kapitbahay, may lindol kanina.",disaster
"wildfire sa bundok, kumalat na sa mga bahay",disaster
"sunog sa kabilang barangay, daming nasunugan.",disaster
"holiday gathering, festive mood",not_disaster
mga bahay natangay ng baha.,disaster
"cod lang po, walang shipping fee",not_disaster
restaurant,not_disaster
"please share, families need food packs",disaster
barter my rice cooker for a blender.,not_disaster
nagkaroon ng landslide sa benguet.,disaster
typhoon victims need immediate food assistance,disaster
barter my cabinet for chairs.,not_disaster
"iniwan kami ng bagyo na walang gamit, kailangan po ng financial assistance para makabangon.",disaster
"ingat mga kapitbahay, may gumuho kanina.",disaster
"rescue boats needed near highway, mataas ang tubig",disaster
headset available.,not_disaster
"accepting bulk orders, with delivery",not_disaster
"nawalan ng lahat dahil sa apoy, cash assistance po sana.",disaster
Tulong sa homework please,not_disaster
smartphone available.,not_disaster
ang daming bumili na pagkain sa food park.,not_disaster
"sunog destroyed 20 houses, residents need help",disaster
nabalitaan ko na nagkabaha sa probinsya.,disaster
Tulong sa paghahanap ng nawawalang pera,not_disaster
"Tulong po, may problema ako",not_disaster
"ingat mga kapitbahay, may bumaha kanina.",disaster
"preloved ng iphone 14 pro max, pm me.",not_disaster
latest deal: delivery items today!,not_disaster
pizza bundle promo.,not_disaster
headphones for sale.,not_disaster
smartwatch available.,not_disaster
order food delivery now.,not_disaster
food delivery available 9am–9pm.,not_disaster
nag travel.,not_disaster
"electrical fire sa office, lahat nag-evacuate",disaster
accepting orders: leche flan and buko pie.,not_disaster
grabe bumagyo dito sa amin.,disaster
promo ngayon! place your order ng milk tea.,not_disaster
there was a report of malakas na ulan in the city.,disaster
"lindol sa eskwelahan, lahat ng estudyante na-evacuate",disaster
"workout session complete, feeling great",not_disaster
"Tulong please, nahihirapan ako",not_disaster
sarap ng milk tea dito.,not_disaster
"emergency appeal for food packs, 100 families affected",disaster
"Tulong sa pag-schedule, maraming appointments",not_disaster
"barangay hall puno na ng evacuees, wala nang space",disaster
latest deal: eat all you can items today!,not_disaster
tablet for sale.,not_disaster
nawasak yung tulay dahil sa malakas na ulan.,disaster
"dam overflow, maraming lugar binaha",disaster
"‼️ptpa‼️ tecno pova 6 pro 5g ----8.500---- negotiable sale or swap sa lower unit. complete package! specs: 12+12gb ram/256gb storage ‎dimensity 6080 (6nm) ‎6000mah ‎triple main camera 108 mp +2mp ‎32mp selfie camera ‎120hz refresh rate ‎on screen fingerprint ‎dynamic back light effect ‎dual stereo speaker ‎android 15 no issue rfs:extra phone meet up,pick up or deliver(add df)",not_disaster
"Tulong naman, maraming kailangan",not_disaster
nabalitaan ko na overflowing river sa probinsya.,disaster
nabasag yung bintana sa sobrang lakas ng hangin.,disaster
promo ngayon! bentahan ng milk tea.,not_disaster
"Tulong sa pag-install, hindi ko alam paano",not_disaster
"photography walk sa park, beautiful scenery",not_disaster
phone promo sale.,not_disaster
there was a report of nilindol in the city.,disaster
nabalitaan ko na flooded sa probinsya.,disaster
"barter shoes size 9 for size 8, located in laguna",not_disaster
ang daming binili na pagkain sa food park.,not_disaster
nagkaroon ng storm surge ulit.,disaster
"nawalan ng ari-arian sa baha, kahit maliit na pera malaking tulong po.",disaster
nawasak yung palengke dahil sa apoy.,disaster
accepting orders: home-cooked meals,not_disaster
"brand new ng iphone 14 pro max, pm me.",not_disaster
"Nasunugan ang buong barangay, humihingi ng tulong",disaster
"Earthquake sa probinsya, maraming pamilya walang bahay",disaster
barter baby crib for high chair,not_disaster
grabe signal no. 3 dito sa amin.,disaster
"Tsunami warning, lahat ng tao nag-evacuate",disaster
swap lumang tv para sa gasul,not_disaster
nag kape kami sa cafe.,not_disaster
ang daming sale ngayon na pagkain sa food park.,not_disaster
"looking for tv stand, cheap lang.",not_disaster
"kainan ng iphone 14 pro max, pm me.",not_disaster
nabalitaan ko na typhoon sa probinsya.,disaster
oppo reno phone for sale.,not_disaster
"for sale: pre-loved baby stroller, good condition",not_disaster
"bagyo ang nagdulot ng baha sa aming lugar, humihingi ng financial assistance.",disaster
"Tulong sa pag-organize, gulo na ang list",not_disaster
"Lindol sa probinsya, maraming bahay nawasak",disaster
grabe gumuhong lupa dito sa amin.,disaster
"landslide covered entire road, no access sa bayan",disaster
shoes for sale.,not_disaster
grabe heavy rains dito sa amin.,disaster
"Tulong sa pag-upload, error na naman",not_disaster
"relief distribution ongoing, pero kulang pa rin",disaster
"Tulong sa pag-fix, hindi na gumagana",not_disaster
nagkaroon ng eruption sa bulkan.,disaster
"may bagong branch yung gym namin, tara workout",not_disaster
accepting bulk orders today,not_disaster
swap my helmet for a backpack.,not_disaster
"Tulong naman, paano ba to",not_disaster
"Tulong sa pag-edit, hindi ko alam paano",not_disaster
"lindol kanina, ang lakas! ingat mga kapitbahay.",disaster
"order pancit bilao, free delivery around town.",not_disaster
🤝,not_disaster
"power outage, walang kuryente buong bayan",disaster
"kumakapit sa kahoy ang mga residente, tulong agad",disaster
"ingat mga kapitbahay, may flooded kanina.",disaster
"team building activity, bonding time",not_disaster
"flash flood sa bayan, maraming sasakyan na-stranded",disaster
nabalitaan ko na bumaha sa probinsya.,disaster
ang daming nagbili na pagkain sa food park.,not_disaster
nabalitaan ko na nilindol sa probinsya.,disaster
"check out this shop, maraming for sale.",not_disaster
"malakas na lindol sa probinsya, maraming nasirang bahay",disaster
"ingat mga kapitbahay, may sunog kanina.",disaster
"relief trucks delayed, kulang pagkain ng evacuees",disaster
"for sale ng iphone 14 pro max, pm me.",not_disaster
grabe aftershock dito sa amin.,disaster
order na ng burger.,not_disaster
"Typhoon signal number 4 na, lahat ng tao nag-evacuate",disaster
"Landslide sa highway, maraming sasakyan na-stranded",disaster
any rider available to deliver groceries to pila?,not_disaster
barter: blender kapalit ng rice cooker,not_disaster
"bbq party sa backyard, perfect weekend",not_disaster
"heavy rainfall, maraming lugar binaha",disaster
trade my guitar for rice sacks.,not_disaster
"Baha sa probinsya, maraming pamilya walang makain",disaster
accepting cod orders sa pila area only,not_disaster
nagkaroon ng chemical explosion.,disaster
nag landslide sa gilid ng bundok.,disaster
"for sale: pet cage, good condition",not_disaster
"check out this shop, maraming sale ngayon.",not_disaster
"Malakas na lindol sa probinsya, maraming nasirang bahay",disaster
"pasabuy sa sm calamba, pm your orders.",not_disaster
ang daming tao kasi signal no. 3 sa barangay.,disaster
"tsunami warning, lahat ng tao lumikas",disaster
"nagbebenta ako ng bigas, p45 per kilo, pm lang",not_disaster
"check out this shop, maraming inorder.",not_disaster
"strong aftershock again, takot ang mga bata",disaster
"naglaho ang tulay sa lakas ng baha, stranded kami",disaster
"check out this shop, maraming order.",not_disaster
rescue operation ongoing sa mga stranded,disaster
there was a report of storm surge in the city.,disaster
nagkaroon ng fire alert.,disaster
nagkaroon ng lindol sa probinsya.,disaster
"Typhoon victims, humihingi ng tulong",disaster
ang daming tao kasi nagkasunog sa barangay.,disaster
"binili ng iphone 14 pro max, pm me.",not_disaster
"evacuation center walang cr, unhygienic na",disaster
"nag-crash ang pader dahil sa lindol, delikado dito",disaster
nag mall kami.,not_disaster
"wala nang pagkain sa evacuation center, tulong po",disaster
nagkaroon ng blackout kagabi.,disaster
"Tulong sa paglalakad, hindi ko alam ang daan",not_disaster
nagkaroon ng sunog sa eskwelahan.,disaster
ang daming tao kasi nagsunog sa barangay.,disaster
"check out this shop, maraming brand new.",not_disaster
nagkaroon ng sunog sa mall.,disaster
"anniversary celebration, love milestone",not_disaster
nabalitaan ko na signal no. 3 sa probinsya.,disaster
promo ngayon! promo ng milk tea.,not_disaster
"nasunugan po kami kagabi, umaapela po ako ng tulong pinansyal para sa pamilya ko.",disaster
brand new laptop sale.,not_disaster
"promo ng iphone 14 pro max, pm me.",not_disaster
walang kuryente at signal buong araw,disaster
lf mabilis mag styro cut ng names for backdrop mamaya need. sa pila lang sana,not_disaster
"kain ng iphone 14 pro max, pm me.",not_disaster
meet-up today for gadget swap,not_disaster
"rush sale: branded sneakers, half price",not_disaster
"nasunugan ang buong barangay, humihingi ng financial help.",disaster
"Tulong sa pag-review, exam na bukas",not_disaster
nag iba kulay ng langit dahil sa abo.,disaster
"nasunugan ang kapitbahay namin, umaapela kami ng tulong pinansyal.",disaster
latest deal: for sale items today!,not_disaster
swap: lumang cellphone kapalit ng grocery items,not_disaster
"Tulong sa pag-decide, nahihirapan ako",not_disaster
"typhoon pa rin, walang kuryente buong barangay",disaster
mga bata umiiyak sa baha.,disaster
promo ngayon! buy 1 take 1 ng milk tea.,not_disaster
