text,label,is_disaster,disaster_type
"donation drive ongoing, pero kulang pa rin",disaster,True,typhoon
"evacuation center walang cr, unhygienic na",disaster,True,other
families still stranded on rooftops,disaster,True,other
"barangay needs extra generators, brownout pa rin",disaster,True,other
"landslide covered entire road, no access sa bayan",disaster,True,landslide
"lubog na naman ang buong barangay, kailangan ng bangka",disaster,True,other
"wala nang pagkain sa evacuation center, tulong po",disaster,True,other
"nawalan ng bahay ang kapitbahay ko, kailangan ng damit",disaster,True,flood
"nag-crash ang pader dahil sa lindol, delikado dito",disaster,True,earthquake
"mga bata nanginginig sa lamig, walang kumot",disaster,True,other
"namatay ang ilaw buong sitio, di makagamit ng appliances",disaster,True,other
"kulang ang bigas, wala nang makain ang evacuees",disaster,True,typhoon
"may sugatan dito, walang first aid kit",disaster,True,other
ang daming bahay natangay ng baha,disaster,True,flood
"kailangan ng gamot, maraming inuubo at nilalagnat",disaster,True,other
"lumindol ulit, basag ang bintana namin",disaster,True,earthquake
"barangay hall puno na ng evacuees, wala nang space",disaster,True,other
"nagka-sunog kagabi, ubos lahat ng gamit ng pamilya",disaster,True,fire
"naglaho ang tulay sa lakas ng baha, stranded kami",disaster,True,flood
kailangan ng volunteers sa repacking area,disaster,True,other
nag-collapse ang bubong ng eskwelahan,disaster,True,other
"kumakapit sa kahoy ang mga residente, tulong agad",disaster,True,other
kumalat na ang sakit sa evacuation center,disaster,True,other
"rescue team delayed, kailangan ng dagdag tulong",disaster,True,other
"may nadaganan ng debris, walang rescue",disaster,True,other
"nawalan kami ng bahay dahil sa sunog, kahit maliit na tulong pinansyal malaking bagay na po.",disaster,True,fire
"binaha ang buong barangay, kailangan po namin ng kaunting pera para makabili ng pagkain.",disaster,True,flood
"nawalan ng kabuhayan dahil sa lindol, sana po matulungan kami kahit konti lang.",disaster,True,earthquake
"nasunugan po kami kagabi, umaapela po ako ng tulong pinansyal para sa pamilya ko.",disaster,True,fire
"naapektuhan kami ng matinding baha, humihingi ng donasyon para sa mga bata.",disaster,True,flood
"iniwan kami ng bagyo na walang gamit, kailangan po ng financial assistance para makabangon.",disaster,True,typhoon
"nasira ang kabahayan sa landslide, humihingi kami ng tulong pinansyal.",disaster,True,flood
"matinding ulan ang sumira sa aming bahay, umaapela ng cash donation.",disaster,True,flood
"sunog ang sumira sa kabuhayan namin, sana po may makatulong financially.",disaster,True,fire
"nawalan ng ari-arian sa baha, kahit maliit na pera malaking tulong po.",disaster,True,flood
"nasira ang palengke dahil sa bagyo, vendors affected humihingi ng financial help.",disaster,True,typhoon
"evacuation center puno na, sana po makatulong kayo kahit konting donasyon.",disaster,True,other
"sunog kagabi sa barangay namin, humihingi ng tulong pinansyal para sa mga biktima.",disaster,True,fire
"bagyo ang sumira ng kabuhayan ng mga magsasaka, donations needed.",disaster,True,typhoon
"nawalan kami ng hanapbuhay sa baha, humihingi ng financial assistance.",disaster,True,flood
"nawasak ang bahay dahil sa lindol, tulong pinansyal po ang aming kailangan.",disaster,True,flood
"baha ang sumira sa mga gamit namin, cash donations po ang kailangan.",disaster,True,flood
"nasunugan ang kapitbahay namin, umaapela kami ng tulong pinansyal.",disaster,True,fire
"bagyo ang nagpalubog sa buong barangay, kailangan ng financial support.",disaster,True,typhoon
"nawalan ng lahat dahil sa apoy, cash assistance po sana.",disaster,True,fire
"nasira ang kabuhayan ng mga mangingisda sa bagyo, donations needed.",disaster,True,typhoon
"evacuation center kulang sa pagkain, humihingi ng donasyon.",disaster,True,typhoon
"sunog ang sumira sa bahay namin, umaapela ng tulong pinansyal.",disaster,True,fire
"bagyo ang nagdulot ng baha sa aming lugar, financial help needed.",disaster,True,flood
"nasira ang mga pananim sa bagyo, farmers need financial assistance.",disaster,True,typhoon
"nasunugan ang buong barangay, humihingi ng cash donations.",disaster,True,fire
"bagyo ang nagdulot ng landslide, evacuation center needs donations.",disaster,True,typhoon
"nasira ang kabuhayan ng mga vendor sa palengke, financial help needed.",disaster,True,other
"sunog ang sumira sa bahay ng kapitbahay, humihingi ng tulong pinansyal.",disaster,True,fire
"bagyo ang nagdulot ng baha sa buong barangay, donations needed.",disaster,True,flood
"nasira ang kabuhayan ng mga magsasaka sa bagyo, financial assistance needed.",disaster,True,typhoon
"evacuation center kulang sa hygiene kits, donations needed.",disaster,True,typhoon
"sunog ang sumira sa kabuhayan namin, humihingi ng cash donations.",disaster,True,fire
"bagyo ang nagdulot ng landslide sa aming lugar, financial help needed.",disaster,True,typhoon
"nasira ang bahay namin sa lindol, umaapela ng tulong pinansyal.",disaster,True,flood
"nasunugan ang buong barangay, donations needed.",disaster,True,fire
"bagyo ang nagdulot ng baha sa aming lugar, humihingi ng financial assistance.",disaster,True,flood
"nasira ang kabuhayan ng mga vendor sa palengke, cash donations needed.",disaster,True,other
"nasira ang kabuhayan ng mga mangingisda sa bagyo, cash donations needed.",disaster,True,typhoon
"evacuation center kulang sa pagkain at hygiene kits, donations needed.",disaster,True,typhoon
"sunog ang sumira sa bahay namin, humihingi ng tulong pinansyal.",disaster,True,fire
"bagyo ang nagdulot ng baha sa buong barangay, financial assistance needed.",disaster,True,flood
"bagyo ang nagdulot ng landslide sa aming lugar, donations needed.",disaster,True,typhoon
"nasira ang kabuhayan ng mga magsasaka sa bagyo, cash donations needed.",disaster,True,typhoon
"nasunugan ang buong barangay, humihingi ng financial help.",disaster,True,fire
"bagyo ang nagdulot ng baha sa aming lugar, donations needed.",disaster,True,flood
"nasira ang kabuhayan ng mga vendor sa palengke, humihingi ng cash donations.",disaster,True,other
"nasira ang kabuhayan ng mga mangingisda sa bagyo, humihingi ng cash donations.",disaster,True,typhoon
"evacuation center kulang sa pagkain at hygiene kits, humihingi ng donations.",disaster,True,typhoon
"sunog ang sumira sa bahay namin, donations needed.",disaster,True,fire
happy birthday kuya! sana masaya ka ngayong araw,not_disaster,False,not_disaster
"sale ngayon sa shopee, check nyo bago matapos",not_disaster,False,not_disaster
"grabe, ang saya ng beach trip namin kahapon",not_disaster,False,not_disaster
nag-open na ulit yung favorite milk tea shop,not_disaster,False,not_disaster
"congrats sa new job mo, proud kami sayo",not_disaster,False,not_disaster
"kaka-release lang ng bagong iphone, ganda!",not_disaster,False,not_disaster
"traffic na naman sa edsa, grabe",not_disaster,False,not_disaster
"watch party mamaya sa bahay, dala kayo food",not_disaster,False,not_disaster
"sarap ng dinner namin kanina, sulit",not_disaster,False,not_disaster
"weekend bonding with family, nakaka-refresh",not_disaster,False,not_disaster
"ang cute ng aso ko, tignan nyo oh",not_disaster,False,not_disaster
movie night later! excited na ako,not_disaster,False,not_disaster
na-miss ko tuloy maglaro ng basketball,not_disaster,False,not_disaster
congrats graduates! hard work pays off,not_disaster,False,not_disaster
"may bagong branch yung gym namin, tara workout",not_disaster,False,not_disaster
"ang init ng panahon, sana umulan",not_disaster,False,not_disaster
"coffee date with friends kanina, sobrang saya",not_disaster,False,not_disaster
"nag level up na ako sa ml, finally",not_disaster,False,not_disaster
sarap ng bagong ramen shop dito sa laguna,not_disaster,False,not_disaster
"family picture namin sa outing, saya sobra",not_disaster,False,not_disaster
good morning everyone! have a great day,not_disaster,False,not_disaster
"nag order ako ng foodpanda, ang bilis dumating",not_disaster,False,not_disaster
"may concert bukas, sobrang excited",not_disaster,False,not_disaster
"shopping galore today, sale sa mall",not_disaster,False,not_disaster
"nag upgrade ako ng pc, ang lupet!",not_disaster,False,not_disaster
happy anniversary sa aking magulang,not_disaster,False,not_disaster
"selfie ko sa bagong haircut, bet nyo?",not_disaster,False,not_disaster
"workout completed today, sweaty pero worth it",not_disaster,False,not_disaster
"late night study grind, kaya natin to",not_disaster,False,not_disaster
sarap ng halo-halo sa summer,not_disaster,False,not_disaster
"swap iphone 11 to samsung s21, pm me kung interested",not_disaster,False,not_disaster
"barter shoes size 9 for size 8, located in laguna",not_disaster,False,not_disaster
"for sale: pre-loved baby stroller, good condition",not_disaster,False,not_disaster
"looking for buyer, secondhand washing machine p3k only",not_disaster,False,not_disaster
"cod delivery sa pila area, pm for details",not_disaster,False,not_disaster
"barter ps4 to xbox one, pm lang",not_disaster,False,not_disaster
"for delivery: homecooked meals, pila area lang",not_disaster,False,not_disaster
"swap guitar for laptop, pm if interested",not_disaster,False,not_disaster
"accepting orders for milk tea, free delivery",not_disaster,False,not_disaster
"garage sale tomorrow, lahat bawas presyo",not_disaster,False,not_disaster
"looking to buy secondhand sofa, budget 2k",not_disaster,False,not_disaster
"barter tv for refrigerator, text me",not_disaster,False,not_disaster
free delivery for orders above p500,not_disaster,False,not_disaster
meet-up and barter items near plaza,not_disaster,False,not_disaster
rush sale: branded bags 50% off,not_disaster,False,not_disaster
"cod accepted, pm for faster transaction",not_disaster,False,not_disaster
swap old bike for new helmet,not_disaster,False,not_disaster
looking for delivery rider pila area,not_disaster,False,not_disaster
"for sale: preloved clothes, cheap",not_disaster,False,not_disaster
free shipping nationwide until weekend,not_disaster,False,not_disaster
"looking for secondhand books, pm offers",not_disaster,False,not_disaster
swap sneakers for basketball shoes,not_disaster,False,not_disaster
available today: frozen goods with delivery,not_disaster,False,not_disaster
barter baby crib for high chair,not_disaster,False,not_disaster
"for sale: kitchenware, slightly used",not_disaster,False,not_disaster
"order now: homemade ulam, free delivery",not_disaster,False,not_disaster
meet up at town plaza for swap,not_disaster,False,not_disaster
"looking for laptop charger, pm offers",not_disaster,False,not_disaster
discount sale today! 70% off,not_disaster,False,not_disaster
"cod only, no shipping fee",not_disaster,False,not_disaster
"swap gadgets, pm details",not_disaster,False,not_disaster
for sale preloved books,not_disaster,False,not_disaster
"accepting bulk orders, with delivery",not_disaster,False,not_disaster
barter guitar pedal for keyboard,not_disaster,False,not_disaster
"rush sale appliances, cheap",not_disaster,False,not_disaster
"looking for secondhand phone, budget 5k",not_disaster,False,not_disaster
free delivery for orders above p300,not_disaster,False,not_disaster
"looking for buyer, preloved laptop p8,000 only",not_disaster,False,not_disaster
"swap refrigerator for washing machine, pm if interested",not_disaster,False,not_disaster
"for sale: mountain bike, slightly used, p5k",not_disaster,False,not_disaster
accepting cod orders sa pila area only,not_disaster,False,not_disaster
delivery available for fresh vegetables today,not_disaster,False,not_disaster
"rush sale: branded sneakers, half price",not_disaster,False,not_disaster
"swap ipad for android tablet, pm details",not_disaster,False,not_disaster
"looking for buyer, dining table set",not_disaster,False,not_disaster
"accepting pre-orders for milk tea, delivery within town",not_disaster,False,not_disaster
for trade: gaming chair to mechanical keyboard,not_disaster,False,not_disaster
cod and free shipping nationwide,not_disaster,False,not_disaster
barter old tv for microwave oven,not_disaster,False,not_disaster
"meet up near plaza, swap items lang",not_disaster,False,not_disaster
for sale: preloved clothes bundle,not_disaster,False,not_disaster
"looking to buy baby crib, pm offers",not_disaster,False,not_disaster
food delivery available until 9pm,not_disaster,False,not_disaster
barter smartphone for mountain bike,not_disaster,False,not_disaster
"for sale: pet cage, good condition",not_disaster,False,not_disaster
swap dslr for gopro camera,not_disaster,False,not_disaster
"rush sale appliances, limited stocks",not_disaster,False,not_disaster
meet-up today for gadget swap,not_disaster,False,not_disaster
accepting orders: home-cooked meals,not_disaster,False,not_disaster
looking for delivery rider urgently,not_disaster,False,not_disaster
"garage sale, all items must go",not_disaster,False,not_disaster
"cod transaction only, no shipping",not_disaster,False,not_disaster
"for sale: kitchenware, barely used",not_disaster,False,not_disaster
order now and get free delivery,not_disaster,False,not_disaster
"pre-loved bags for sale, cheap",not_disaster,False,not_disaster
swap bicycle for smartphone,not_disaster,False,not_disaster
looking for 2nd hand books,not_disaster,False,not_disaster
accepting bulk orders today,not_disaster,False,not_disaster
"nagbebenta ako ng bigas, p45 per kilo, pm lang",not_disaster,False,not_disaster
swap: lumang cellphone kapalit ng grocery items,not_disaster,False,not_disaster
nagahanap ako ng buyer para sa electric fan,not_disaster,False,not_disaster
"delivery available, order na ng ulam sa tanghali",not_disaster,False,not_disaster
"bili na ng prutas, sariwa at mura lang",not_disaster,False,not_disaster
barter: blender kapalit ng rice cooker,not_disaster,False,not_disaster
"nagbebenta ng bagong sapatos, size 8",not_disaster,False,not_disaster
"cod lang po, walang shipping fee",not_disaster,False,not_disaster
"pabili ako ng gatas, deliver sa barangay plaza",not_disaster,False,not_disaster
"meet-up lang sa palengke, bibili ng damit",not_disaster,False,not_disaster
"benta ng school supplies, mura lang",not_disaster,False,not_disaster
nagahanap ako ng murang secondhand bike,not_disaster,False,not_disaster
swap lumang tv para sa gasul,not_disaster,False,not_disaster
"nagbebenta ng homecooked meals, order na",not_disaster,False,not_disaster
nagpapahanap ng buyer ng sofa set,not_disaster,False,not_disaster
"delivery ng gulay, tawag lang po",not_disaster,False,not_disaster
"garage sale ngayong weekend, lahat bagsak presyo",not_disaster,False,not_disaster
nagpaparush sale ng laptop,not_disaster,False,not_disaster
palit washing machine sa refrigerator,not_disaster,False,not_disaster
"nag-aalok ng load delivery, pm lang",not_disaster,False,not_disaster
kumusta ang lahat? sana ay nasa mabuti kayong kalagayan.,not_disaster,False,not_disaster
masayang araw sa inyong lahat! anong mga plano niyo ngayong weekend?,not_disaster,False,not_disaster
"nag-enjoy kami sa family picnic kahapon sa park, ang saya!",not_disaster,False,not_disaster
"may mga paninda kaming ibinebenta, interesado ba kayo?",not_disaster,False,not_disaster
baka po may kilala kayo magtatabas ng tela salamat.,not_disaster,False,not_disaster
wheels and toyz,not_disaster,False,not_disaster
last 4 pcs men's auth shirts ❤️ mens cut closer to orig 🤩 take all 900 only retail 250,not_disaster,False,not_disaster
"available rider here pwede din pong malayuan. pm lang po kayo any pabili srp+minimal df lang po pila,victoria, area😊🛵",not_disaster,False,not_disaster
"𝐇𝐈𝐆𝐇 𝐒𝐏𝐄𝐂𝐒 𝐋𝐀𝐏𝐓𝐎𝐏 𝐅𝐎𝐑 𝐒𝐀𝐋𝐄 – 𝐃𝐄𝐋𝐋 𝐈𝐍𝐒𝐏𝐈𝐑𝐎𝐍 𝟕𝟒𝟔𝟎 💻 𝐈𝐍𝐓𝐄𝐋 𝐂𝐎𝐑𝐄 𝐈𝟕-𝟕𝐓𝐇 𝐆𝐄𝐍 | 𝟏𝟔𝐆𝐁 𝐑𝐀𝐌 | 𝟐𝟓𝟔𝐆𝐁 𝐒𝐒𝐃 🚀 dual graphics: ⚡nvidia geforce mx950 (2 gb) ⚡intel(r) uhd graphics 620 📺 special features: ✨ sleek & lightweight design ✨ full hd display ✨ built-in webcam ✨ usb 3.0 & type-c ports ✨ hdmi output 💸 16,999 only – fixed price 🎁 free original charger + microsoft apps + wired mouse + laptop bag",not_disaster,False,not_disaster
"ptpa🙏☺️♥️ hello po good day ma'am /sir 🔥🔥 bumibili po ako ng mga sirang alahas kahit putol putol bumibili ako o kahit buo 🔥 10k/12k/14k18k/21k/22k/24k!!! 👌mga papel di ahensya 👌mga walang kapares na hikaw 👌putol na kwintas 👌putol na bracelet 👌sirang singsing 👌sirang bangle 👌sirang angklet 👌o kahit mga lightweight 👌perang abroad 👌 white gold 👌platinum 👌diamond 💎 💯💯💯💯💯💯💯 direct pm lang po , meet up / pick up po ma'am sir 🔥 #noscammers #legitbuyer #legitgoldbuyer #noscammersallowed #goldbuyer",not_disaster,False,not_disaster
available pila rider any store po pwede malayuan malapitan with thermal bag no to payment first rain or shine📩🛵 ✅cake ✅bouquet/flowers ✅advance booking ✅pabili ✅pick up/deliver ✅pasuyo ✅pa-angkas ✅pasabuy ✅groceries ✅medicines srp+deliver fee only👌 direct message me on my account or call 09355691504 cash on delivery or gcash pwede po❤️ available pila/victoria/masapang/sta cruz📩🛵,not_disaster,False,not_disaster
"‼️ptpa‼️ tecno pova 6 pro 5g ----8.500---- negotiable sale or swap sa lower unit. complete package! specs: 12+12gb ram/256gb storage ‎dimensity 6080 (6nm) ‎6000mah ‎triple main camera 108 mp +2mp ‎32mp selfie camera ‎120hz refresh rate ‎on screen fingerprint ‎dynamic back light effect ‎dual stereo speaker ‎android 15 no issue rfs:extra phone meet up,pick up or deliver(add df)",not_disaster,False,not_disaster
lf mabilis mag styro cut ng names for backdrop mamaya need. sa pila lang sana,not_disaster,False,not_disaster
"your nails and lash deserve more than just pampering, let's make them bloom! ✨️💅🏻 🪄 homebased / home service nailtech 🪄 nail extensions can last long 1 to 2 months or more & it depends on costomers care 🪄 when you cancel an appointment, your dp is not refunded. (dp require long distance location)do 100.00 🪄 don't be late, i still have a client after you. so be on time & responsible. 🪄 no cancelation 🪄 we accept maya & cash basis 📍 oogong santa cruz laguna 🗓 monday to sunday 🕔 it depende open slot visit our page for more info & design and dm this page for your appointment or kindly message here 👇🏻 📩 whatsapp : 09311274521 📩 fb page : butterfly's lab 📩 fb acc : gelai devilla silvestre please don't forget to liked & follow ❤️ i hope to see you for our nail and lash session 💅🏻 see you ladies 😍 #nailtechinmanila #nailtechintondo #nailextensionsintondo #nailsnearme #nailstech #nailtechnician #nailsnailsnails #nailsofinstagram #nailextensions",not_disaster,False,not_disaster
open for barter ‼️ pantene conditioner 150ml 120 pick up only!,not_disaster,False,not_disaster
150 size 6 pick up,not_disaster,False,not_disaster
🤝,not_disaster,False,not_disaster
"available po sa friday september 19,2025 cutoff orders wednesday, september 17,2025, 8pm ‼️baker's fair hopia & pianono ‼️homemade cheesy beef lasagna ‼️chicken inasal ‼️chef rv's bibingka ‼️hola cafe ‼️first baker silvanas 🔥homemade cheesy beef lasagna ➡ rectangular tub - 160 🔥chicken inasal ☑️3-4 sticks - 320 🔥hola cafe ➡creamcheese ensaymadness 6-400 ➡assorted ensaymadness 6s - 395 ➡milky cheesebread bites 20-330 ➡assorted cheesebread bites 20-390 ➡ube creamcheese rolls 6-370 ➡double cheeserolls 6-370 ➡ensaymaditas 15-335 ➡duo rolls 6- 380 🔥chef rv's bibingka four cheese classic bibingka - 210 four cheese w chocnut - 230 four cheese w ube - 230 four cheese w yema - 240 pm na po sila 🙂",not_disaster,False,not_disaster
fs. study table free napo yung lagayan,not_disaster,False,not_disaster
ptpa. fs : pwede buo pede parts lang! pm..x125 motor star 2019 model running.,not_disaster,False,not_disaster
fs. 2pcs 20inches luggage for sale. good condition. pm me,not_disaster,False,not_disaster
"hi po, nagbebenta po ako ng mga pre-loved na damit, sapatos, bags at iba pa. pm lang po kayo kung interesado. salamat!",not_disaster,False,not_disaster
restaurant,not_disaster,False,not_disaster
cafe,not_disaster,False,not_disaster
fast food,not_disaster,False,not_disaster
delivery,not_disaster,False,not_disaster
"selling pre-loved shoes, still good condition.",not_disaster,False,not_disaster
"barter my blender for rice cooker, pm if interested.",not_disaster,False,not_disaster
"wheels and toyz available, dm for prices.",not_disaster,False,not_disaster
"looking for affordable baby stroller, budget 2k.",not_disaster,False,not_disaster
"for delivery: 1 kilo pork liempo, cod only.",not_disaster,False,not_disaster
"pre-order korean noodles, closing tonight.",not_disaster,False,not_disaster
"brand new bags for sale, cheap price.",not_disaster,False,not_disaster
any rider available to deliver groceries to pila?,not_disaster,False,not_disaster
"exchange my electric fan for rice, anyone?",not_disaster,False,not_disaster
"selling secondhand phone, slightly used.",not_disaster,False,not_disaster
"pasabuy sa sm calamba, pm your orders.",not_disaster,False,not_disaster
free delivery for 3 boxes of pizza today.,not_disaster,False,not_disaster
swap my helmet for a backpack.,not_disaster,False,not_disaster
"looking for ukay-ukay jacket, medium size.",not_disaster,False,not_disaster
"laptop bag for sale, p200 only.",not_disaster,False,not_disaster
"order fresh vegetables, free delivery pila area.",not_disaster,False,not_disaster
anyone selling bike parts?,not_disaster,False,not_disaster
trade my guitar for rice sacks.,not_disaster,False,not_disaster
"affordable home-cooked meals, message for menu.",not_disaster,False,not_disaster
"delivery service available, small fee lang.",not_disaster,False,not_disaster
"selling preloved kids clothes, p50 each.",not_disaster,False,not_disaster
accepting orders: leche flan and buko pie.,not_disaster,False,not_disaster
looking for secondhand washing machine.,not_disaster,False,not_disaster
barter my cabinet for chairs.,not_disaster,False,not_disaster
good morning pila group!,not_disaster,False,not_disaster
pm me if you have a rice cooker for sale.,not_disaster,False,not_disaster
looking for cheap motorcycle parts.,not_disaster,False,not_disaster
grab food delivery riders available now.,not_disaster,False,not_disaster
"selling toys, still complete set.",not_disaster,False,not_disaster
trade my books for groceries.,not_disaster,False,not_disaster
food delivery available 9am–9pm.,not_disaster,False,not_disaster
"ukay shoes for sale, pila meetup only.",not_disaster,False,not_disaster
buy 1 take 1 milk tea promo today.,not_disaster,False,not_disaster
swap my old phone for a microwave oven.,not_disaster,False,not_disaster
looking for supplier of eggs and chicken.,not_disaster,False,not_disaster
"for sale: sofa set, good condition.",not_disaster,False,not_disaster
"delivery rider needed, cod transactions.",not_disaster,False,not_disaster
swap electric kettle for 2kg of rice.,not_disaster,False,not_disaster
"selling preloved dresses, negotiable.",not_disaster,False,not_disaster
"order pancit bilao, free delivery around town.",not_disaster,False,not_disaster
looking for secondhand refrigerator.,not_disaster,False,not_disaster
barter my rice cooker for a blender.,not_disaster,False,not_disaster
"selling brand new t-shirts, 100 pesos each.",not_disaster,False,not_disaster
"available grocery delivery, pm for rates.",not_disaster,False,not_disaster
"looking for tv stand, cheap lang.",not_disaster,False,not_disaster
barter my table for rice.,not_disaster,False,not_disaster
"selling home appliances, slightly used.",not_disaster,False,not_disaster
"pasabuy groceries sa puregold, closing 5pm.",not_disaster,False,not_disaster
anyone selling baby crib?,not_disaster,False,not_disaster
happy sunday everyone! stay safe.,not_disaster,False,not_disaster
"grabe yung baha dito sa amin, hanggang tuhod na.",disaster,True,flood
"lindol kanina, ang lakas! ingat mga kapitbahay.",disaster,True,flood
walang kuryente buong araw dahil sa bagyo.,disaster,True,typhoon
"malakas ang ulan, bumaha agad sa kalsada.",disaster,True,flood
"sumabog yung bulkang malapit, ang daming abo.",disaster,True,other
"flashflood alert sa laguna area, maghanda po lahat.",disaster,True,flood
nawasak yung tulay dahil sa malakas na ulan.,disaster,True,typhoon
"signal #3 na raw, walang pasok bukas.",disaster,True,typhoon
ang daming landslide sa kalsada papuntang baguio.,disaster,True,landslide
"sunog sa kabilang barangay, daming nasunugan.",disaster,True,fire
"may tornado na malapit sa amin, lahat nag-evacuate.",disaster,True,other
"bumigay yung dam, nag overflow yung tubig.",disaster,True,flood
"aftershock pa rin nararamdaman, nakakakaba.",disaster,True,earthquake
mga poste natumba dahil sa hangin ng bagyo.,disaster,True,typhoon
nabasag yung bintana sa sobrang lakas ng hangin.,disaster,True,other
nagdulot ng landslide yung malakas na ulan.,disaster,True,typhoon
"nagkaroon ng sinkhole sa highway, delikado.",disaster,True,other
"yung tulay sira na, hindi na madaanan.",disaster,True,other
bumagsak yung bubong ng bahay namin sa bagyo.,disaster,True,flood
ang daming evacuees sa covered court.,disaster,True,other
walang signal at internet dahil sa bagyo.,disaster,True,typhoon
ang init ng abo mula sa bulkang sumabog.,disaster,True,other
nag collapse yung gusali dahil sa lindol.,disaster,True,earthquake
may mga nahulog na puno sa kalsada.,disaster,True,other
ang daming stranded na pasahero sa pier.,disaster,True,other
nawasak yung palengke dahil sa apoy.,disaster,True,fire
nag landslide ulit sa benguet area.,disaster,True,landslide
flashflood pumasok sa bahay ng kapitbahay.,disaster,True,flood
nag iba kulay ng langit dahil sa abo.,disaster,True,other
may nagkaroon ng sunog sa palengke.,disaster,True,fire
mga tao nag-evacuate na dahil sa tsunami alert.,disaster,True,other
nawasak yung bahay dahil sa apoy.,disaster,True,fire
"bumigay yung kalsada, may malalim na butas.",disaster,True,other
nagka blackout buong bayan.,disaster,True,other
"may malakas na lindol, tumba lahat ng gamit.",disaster,True,earthquake
